,Title,URL,ID,BERT label,BERT label words,TFIDF label,TFIDF label words,BERT + TFIDF label,BERT + TFIDF label words,Comment Count,Time elapsed (mins),Upvotes,Upvote Ratio
Post 1,"[META] Newegg Souffle 3060, 3070, 6700 XT, 3080 10GB $549 - $1119",https://www.newegg.com/product-shuffle,mhyyge,-1,"[('-', 7), ('ssd', 2), ('[meta]', 1), ('newegg', 1), ('souffle', 1), ('3060,', 1), ('3070,', 1), ('6700', 1), ('xt,', 1), ('3080', 1)]",-1,"[('-', 10), ('rgb', 2), ('$15', 2), ('[meta]', 1), ('newegg', 1), ('souffle', 1), ('3060,', 1), ('3070,', 1), ('6700', 1), ('xt,', 1)]",-1,"[('-', 7), ('ssd', 2), ('[meta]', 1), ('newegg', 1), ('souffle', 1), ('3060,', 1), ('3070,', 1), ('6700', 1), ('xt,', 1), ('3080', 1)]",460,730.0,553,0.9
Post 2,[Cables] Cat6 Ethernet cables up to 33% off - 1.5FT to 100FT - $3.99 to $8.99 - Lowest price in 30 days,https://www.amazon.com/dp/B08MJF2WB7/ref=cm_sw_r_cp_api_glt_fabc_YQ468PMXAG3FFBP8XC4Q?psc=1,mhrlv0,2,"[('-', 39), ('gaming', 6), ('amd', 6), ('[monitor]', 5), ('[prebuilt]', 5), ('ssd', 5), ('rtx', 4), ('3070', 4), ('b550', 3), ('am4', 3)]",0,"[('-', 3), ('$8.99', 2), ('[cables]', 1), ('cat6', 1), ('ethernet', 1), ('cables', 1), ('33%', 1), ('1.5ft', 1), ('100ft', 1), ('$3.99', 1)]",2,"[('-', 39), ('gaming', 6), ('amd', 6), ('[monitor]', 5), ('[prebuilt]', 5), ('ssd', 5), ('rtx', 4), ('3070', 4), ('b550', 3), ('am4', 3)]",90,315.0,341,0.93
Post 3,"[PSU] be quiet! Straight Power 11 750W PSU, 80+ Platinum, Fully Modular, Silent Wings 3 fan, 5yr Warranty - $135 ($150-15)",https://www.newegg.com/be-quiet-straight-power-11-750-watt-platinum-750w/p/1HU-004H-000G6,mi371k,3,"[('-', 3), ('[psu]', 2), ('fully', 2), ('modular,', 2), ('warranty', 2), ('dc', 2), ('quiet!', 1), ('straight', 1), ('power', 1), ('11', 1)]",4,"[('-', 3), ('[psu]', 2), ('fully', 2), ('modular,', 2), ('warranty', 2), ('dc', 2), ('quiet!', 1), ('straight', 1), ('power', 1), ('11', 1)]",3,"[('-', 3), ('[psu]', 2), ('fully', 2), ('modular,', 2), ('warranty', 2), ('dc', 2), ('quiet!', 1), ('straight', 1), ('power', 1), ('11', 1)]",20,924.0,81,0.9
Post 4,[Fans] LIAN LI UNI FAN SL140 RGB BLACK & WHITE 2X 14CM FAN PACK WITH CONTROLLER - $79.99 (MSRP),https://www.newegg.com/lian-li-uf-sl140-2b-case-fan/p/1YF-005G-00018,mhuzwn,0,"[('fan', 3), ('lian', 2), ('li', 2), ('uni', 2), ('pack', 2), ('[fans]', 1), ('sl140', 1), ('rgb', 1), ('black', 1), ('&', 1)]",3,"[('fan', 3), ('lian', 2), ('li', 2), ('uni', 2), ('pack', 2), ('[fans]', 1), ('sl140', 1), ('rgb', 1), ('black', 1), ('&', 1)]",0,"[('fan', 3), ('lian', 2), ('li', 2), ('uni', 2), ('pack', 2), ('[fans]', 1), ('sl140', 1), ('rgb', 1), ('black', 1), ('&', 1)]",23,537.0,71,0.8200000000000001
Post 5,[MOTHERBOARD] ASRock B550 Phantom Gaming 4 AM4 AMD B550 SATA 6Gb/s ATX AMD Motherboard - $97.75 ($114.99 - 17.24 ),https://www.newegg.com/asrock-b550-phantom-gaming-4/p/N82E16813157935?Description=phantom%20gaming%204&cm_re=phantom_gaming%204-_-13-157-935-_-Product,mhwsop,2,"[('-', 39), ('gaming', 6), ('amd', 6), ('[monitor]', 5), ('[prebuilt]', 5), ('ssd', 5), ('rtx', 4), ('3070', 4), ('b550', 3), ('am4', 3)]",7,"[('amd', 4), ('b550', 3), ('am4', 3), ('motherboard', 3), ('[motherboard]', 2), ('atx', 2), ('-', 2), ('asrock', 1), ('phantom', 1), ('gaming', 1)]",2,"[('-', 39), ('gaming', 6), ('amd', 6), ('[monitor]', 5), ('[prebuilt]', 5), ('ssd', 5), ('rtx', 4), ('3070', 4), ('b550', 3), ('am4', 3)]",38,628.0,56,0.85
Post 6,"[Headphones] Microsoft MIC-MXZ-00001 Surface Headphones, V1 Gray - $95.39 (10% off login and checkout with woot app)",https://computers.woot.com/offers/microsoft-surface-headphones-8?ref=w_gw_dd_3,mhp2hi,-1,"[('-', 7), ('ssd', 2), ('[meta]', 1), ('newegg', 1), ('souffle', 1), ('3060,', 1), ('3070,', 1), ('6700', 1), ('xt,', 1), ('3080', 1)]",-1,"[('-', 10), ('rgb', 2), ('$15', 2), ('[meta]', 1), ('newegg', 1), ('souffle', 1), ('3060,', 1), ('3070,', 1), ('6700', 1), ('xt,', 1)]",-1,"[('-', 7), ('ssd', 2), ('[meta]', 1), ('newegg', 1), ('souffle', 1), ('3060,', 1), ('3070,', 1), ('6700', 1), ('xt,', 1), ('3080', 1)]",20,119.0,53,0.84
Post 7,"[Monitor] Dell S2721D 27"" 1440p 75Hz IPS FreeSync - $197.99 ($219.99-$22 w/ EXTRA10)",https://www.dell.com/en-us/shop/dell-27-monitor-s2721d/apd/210-axko/,mi8z3u,2,"[('-', 39), ('gaming', 6), ('amd', 6), ('[monitor]', 5), ('[prebuilt]', 5), ('ssd', 5), ('rtx', 4), ('3070', 4), ('b550', 3), ('am4', 3)]",1,"[('-', 7), ('[monitor]', 5), ('27""', 3), ('ips', 3), ('1440p', 2), ('freesync', 2), ('144hz', 2), ('dell', 1), ('s2721d', 1), ('75hz', 1)]",2,"[('-', 39), ('gaming', 6), ('amd', 6), ('[monitor]', 5), ('[prebuilt]', 5), ('ssd', 5), ('rtx', 4), ('3070', 4), ('b550', 3), ('am4', 3)]",46,1216.0,75,0.91
Post 8,"[2.5"" SSD] 4TB Samsung 860 EVO + 3.5"" Corsair Dual SSD mounting bracket - $385.98 (normally $425 for the SSD alone)",https://www.amazon.com/gp/product/B079NK412R?pf_rd_r=A7C9BXD0Q4KSGCRD8YQN&pf_rd_p=5ae2c7f8-e0c6-4f35-9071-dc3240e894a8&pd_rd_r=1bd8ca0f-ce26-4d0b-ade3-7eeac4aaeb0f&pd_rd_w=65bDS&pd_rd_wg=K5r3T&ref_=pd_gw_unk,mhsz9o,-1,"[('-', 7), ('ssd', 2), ('[meta]', 1), ('newegg', 1), ('souffle', 1), ('3060,', 1), ('3070,', 1), ('6700', 1), ('xt,', 1), ('3080', 1)]",5,"[('-', 3), ('4tb', 2), ('ssd', 2), ('[2.5""', 1), ('ssd]', 1), ('samsung', 1), ('860', 1), ('evo', 1), ('+', 1), ('3.5""', 1)]",-1,"[('-', 7), ('ssd', 2), ('[meta]', 1), ('newegg', 1), ('souffle', 1), ('3060,', 1), ('3070,', 1), ('6700', 1), ('xt,', 1), ('3080', 1)]",10,415.0,40,0.8300000000000001
Post 9,[SSD] XPG SX8100 Series: 4TB PCIe Gen3x4 - $389.99 ($499.99 - $110 off),https://www.newegg.com/xpg-4tb-sx8100/p/0D9-00DF-000A5?quicklink=true,mhpqt5,2,"[('-', 39), ('gaming', 6), ('amd', 6), ('[monitor]', 5), ('[prebuilt]', 5), ('ssd', 5), ('rtx', 4), ('3070', 4), ('b550', 3), ('am4', 3)]",5,"[('-', 3), ('4tb', 2), ('ssd', 2), ('[2.5""', 1), ('ssd]', 1), ('samsung', 1), ('860', 1), ('evo', 1), ('+', 1), ('3.5""', 1)]",2,"[('-', 39), ('gaming', 6), ('amd', 6), ('[monitor]', 5), ('[prebuilt]', 5), ('ssd', 5), ('rtx', 4), ('3070', 4), ('b550', 3), ('am4', 3)]",42,168.0,38,0.8
Post 10,"[Monitor] Gigabyte M27Q 27"" 1440p 170Hz IPS w/KVM - $315.98 ($359.99 - $20 Sale - $34 (PROMO:4BGSLTDY249) + 9.99 Shipping)",https://www.newegg.com/p/N82E16824012018,mhych1,2,"[('-', 39), ('gaming', 6), ('amd', 6), ('[monitor]', 5), ('[prebuilt]', 5), ('ssd', 5), ('rtx', 4), ('3070', 4), ('b550', 3), ('am4', 3)]",1,"[('-', 7), ('[monitor]', 5), ('27""', 3), ('ips', 3), ('1440p', 2), ('freesync', 2), ('144hz', 2), ('dell', 1), ('s2721d', 1), ('75hz', 1)]",2,"[('-', 39), ('gaming', 6), ('amd', 6), ('[monitor]', 5), ('[prebuilt]', 5), ('ssd', 5), ('rtx', 4), ('3070', 4), ('b550', 3), ('am4', 3)]",53,703.0,39,0.8
