,Title,BERT label,BERT label words,TFIDF label,TFIDF label words,BERT + TFIDF label,BERT + TFIDF label words,Comment Count,Time elapsed (mins),Upvotes,Upvote Ratio
Post 1,Haven't seen a bunny here in a bit so I drew one on my PSet,7,"[(""haven't"", 1), ('seen', 1), ('bunny', 1), ('bit', 1), ('i', 1), ('drew', 1), ('one', 1), ('pset', 1), ('google', 1), ('sheets', 1)]",-1,"[('i', 4), ('cs', 3), ('3110', 3), ('la', 3), ('going', 2), ('back', 2), ('de', 2), ('i’m', 2), (""haven't"", 1), ('seen', 1)]",7,"[(""haven't"", 1), ('seen', 1), ('bunny', 1), ('bit', 1), ('i', 1), ('drew', 1), ('one', 1), ('pset', 1), ('google', 1), ('sheets', 1)]",6,322.0,259,0.97
Post 2,Thanks,-1,"[('cs', 6), ('3110', 5), ('math', 5), ('back', 4), ('1110', 4), ('la', 3), ('freshman', 3), ('pre', 3), ('enroll', 3), ('take', 2)]",6,"[('thanks', 1), ('when', 1), ('it’s', 1), ('third', 1), ('time', 1), ('waking', 1), ('hour', 1), ('late', 1), ('pre-enroll', 1), ('still', 1)]",-1,"[('cs', 6), ('3110', 5), ('math', 5), ('back', 4), ('1110', 4), ('la', 3), ('freshman', 3), ('pre', 3), ('enroll', 3), ('take', 2)]",2,149.0,183,0.99
Post 3,More CS 3110 sections opening soon,-1,"[('cs', 6), ('3110', 5), ('math', 5), ('back', 4), ('1110', 4), ('la', 3), ('freshman', 3), ('pre', 3), ('enroll', 3), ('take', 2)]",-1,"[('i', 4), ('cs', 3), ('3110', 3), ('la', 3), ('going', 2), ('back', 2), ('de', 2), ('i’m', 2), (""haven't"", 1), ('seen', 1)]",-1,"[('cs', 6), ('3110', 5), ('math', 5), ('back', 4), ('1110', 4), ('la', 3), ('freshman', 3), ('pre', 3), ('enroll', 3), ('take', 2)]",11,1151.0,124,1.0
Post 4,When it’s your third time waking up an hour late for pre-enroll but you still get all your classes,12,"[('i', 9), ('get', 7), ('classes', 7), ('is', 7), ('still', 4), ('anyone', 4), ('cs', 4), ('math', 4), ('time', 3), ('how', 3)]",6,"[('thanks', 1), ('when', 1), ('it’s', 1), ('third', 1), ('time', 1), ('waking', 1), ('hour', 1), ('late', 1), ('pre-enroll', 1), ('still', 1)]",12,"[('i', 9), ('get', 7), ('classes', 7), ('is', 7), ('still', 4), ('anyone', 4), ('cs', 4), ('math', 4), ('time', 3), ('how', 3)]",7,73.0,94,0.97
Post 5,Nimona wishes you well today!,0,"[('nimona', 1), ('wishes', 1), ('well', 1), ('today!', 1), ('anthr', 1), ('2400', 1), ('w', 1), ('raheja', 1)]",6,"[('thanks', 1), ('when', 1), ('it’s', 1), ('third', 1), ('time', 1), ('waking', 1), ('hour', 1), ('late', 1), ('pre-enroll', 1), ('still', 1)]",0,"[('nimona', 1), ('wishes', 1), ('well', 1), ('today!', 1), ('anthr', 1), ('2400', 1), ('w', 1), ('raheja', 1)]",5,1047.0,100,0.9400000000000001
Post 6,back in her youth,-1,"[('cs', 6), ('3110', 5), ('math', 5), ('back', 4), ('1110', 4), ('la', 3), ('freshman', 3), ('pre', 3), ('enroll', 3), ('take', 2)]",6,"[('thanks', 1), ('when', 1), ('it’s', 1), ('third', 1), ('time', 1), ('waking', 1), ('hour', 1), ('late', 1), ('pre-enroll', 1), ('still', 1)]",-1,"[('cs', 6), ('3110', 5), ('math', 5), ('back', 4), ('1110', 4), ('la', 3), ('freshman', 3), ('pre', 3), ('enroll', 3), ('take', 2)]",4,180.0,90,0.9500000000000001
Post 7,つ ◕_◕ ༽つ take my energy,-1,"[('cs', 6), ('3110', 5), ('math', 5), ('back', 4), ('1110', 4), ('la', 3), ('freshman', 3), ('pre', 3), ('enroll', 3), ('take', 2)]",6,"[('thanks', 1), ('when', 1), ('it’s', 1), ('third', 1), ('time', 1), ('waking', 1), ('hour', 1), ('late', 1), ('pre-enroll', 1), ('still', 1)]",-1,"[('cs', 6), ('3110', 5), ('math', 5), ('back', 4), ('1110', 4), ('la', 3), ('freshman', 3), ('pre', 3), ('enroll', 3), ('take', 2)]",9,300.0,88,0.99
Post 8,Are Martha and co. *trying* to see us fail?!,10,"[('are', 1), ('martha', 1), ('co.', 1), ('*trying*', 1), ('see', 1), ('us', 1), ('fail?!', 1), ('brought', 1), ('damaged', 1), ('cornea.', 1)]",6,"[('thanks', 1), ('when', 1), ('it’s', 1), ('third', 1), ('time', 1), ('waking', 1), ('hour', 1), ('late', 1), ('pre-enroll', 1), ('still', 1)]",10,"[('are', 1), ('martha', 1), ('co.', 1), ('*trying*', 1), ('see', 1), ('us', 1), ('fail?!', 1), ('brought', 1), ('damaged', 1), ('cornea.', 1)]",9,1147.0,100,0.98
Post 9,I feel burned out from finals season.,-1,"[('cs', 6), ('3110', 5), ('math', 5), ('back', 4), ('1110', 4), ('la', 3), ('freshman', 3), ('pre', 3), ('enroll', 3), ('take', 2)]",6,"[('thanks', 1), ('when', 1), ('it’s', 1), ('third', 1), ('time', 1), ('waking', 1), ('hour', 1), ('late', 1), ('pre-enroll', 1), ('still', 1)]",-1,"[('cs', 6), ('3110', 5), ('math', 5), ('back', 4), ('1110', 4), ('la', 3), ('freshman', 3), ('pre', 3), ('enroll', 3), ('take', 2)]",10,243.0,69,0.97
Post 10,Hope to cheer you up with a video of a cute fluffy puppy (He will be 5 months old soon.),12,"[('i', 9), ('get', 7), ('classes', 7), ('is', 7), ('still', 4), ('anyone', 4), ('cs', 4), ('math', 4), ('time', 3), ('how', 3)]",6,"[('thanks', 1), ('when', 1), ('it’s', 1), ('third', 1), ('time', 1), ('waking', 1), ('hour', 1), ('late', 1), ('pre-enroll', 1), ('still', 1)]",12,"[('i', 9), ('get', 7), ('classes', 7), ('is', 7), ('still', 4), ('anyone', 4), ('cs', 4), ('math', 4), ('time', 3), ('how', 3)]",2,280.0,58,0.9500000000000001
