,Title,BERT label,BERT label words,TFIDF label,TFIDF label words,BERT + TFIDF label,BERT + TFIDF label words,Comment Count,Time elapsed (mins),Upvotes,Upvote Ratio
Post 1,Japanese serial killer who baited suicidal people using Twitter gets death penalty,-1,"[('new', 10), ('says', 9), ('china', 6), ('iran', 6), ('russian', 5), ('covid-19', 5), ('us', 5), ('world', 4), ('u.s.', 4), ('french', 4)]",36,"[('japanese', 2), ('people', 2), ('suicide', 2), ('japan', 2), ('serial', 1), ('killer', 1), ('baited', 1), ('suicidal', 1), ('using', 1), ('twitter', 1)]",-1,"[('says', 9), ('new', 9), ('china', 6), ('iran', 6), ('russian', 5), ('covid-19', 5), ('us', 5), ('world', 4), ('u.s.', 4), ('french', 4)]",4615,581.0,61227,0.93
Post 2,Chinese government forcing hundreds of thousands of Uighurs to pick cotton,-1,"[('new', 10), ('says', 9), ('china', 6), ('iran', 6), ('russian', 5), ('covid-19', 5), ('us', 5), ('world', 4), ('u.s.', 4), ('french', 4)]",-1,"[('says', 7), ('eu', 6), ('new', 5), ('world', 4), ('the', 4), ('china', 4), ('oil', 3), ('war', 3), ('russian', 3), ('part', 3)]",-1,"[('says', 9), ('new', 9), ('china', 6), ('iran', 6), ('russian', 5), ('covid-19', 5), ('us', 5), ('world', 4), ('u.s.', 4), ('french', 4)]",4971,86.0,54826,0.77
Post 3,"Pakistan approves new anti-rape laws, closing loopholes, abolishing antiquated two-finger testing, setting up special courts for rape cases, and introducing chemical castration as a 'form of rehabilitation' in extreme cases",28,"[('new', 2), ('pakistan', 1), ('approves', 1), ('anti-rape', 1), ('laws,', 1), ('closing', 1), ('loopholes,', 1), ('abolishing', 1), ('antiquated', 1), ('two-finger', 1)]",14,"[('pakistan', 1), ('approves', 1), ('new', 1), ('anti-rape', 1), ('laws,', 1), ('closing', 1), ('loopholes,', 1), ('abolishing', 1), ('antiquated', 1), ('two-finger', 1)]",28,"[('new', 2), ('in', 2), ('pregnant', 2), ('woman', 2), ('interfaith', 2), ('pakistan', 1), ('approves', 1), ('anti-rape', 1), ('laws,', 1), ('closing', 1)]",1165,903.0,33981,0.96
Post 4,Putin congratulates Biden after Electoral College victory,9,"[('biden', 7), ('putin', 6), ('congratulates', 6), ('u.s.', 5), ('election', 5), ('victory', 4), ('joe', 4), ('winning', 2), ('-', 2), ('kremlin', 2)]",-1,"[('says', 7), ('eu', 6), ('new', 5), ('world', 4), ('the', 4), ('china', 4), ('oil', 3), ('war', 3), ('russian', 3), ('part', 3)]",9,"[('biden', 7), ('putin', 6), ('congratulates', 6), ('u.s.', 5), ('election', 5), ('victory', 4), ('joe', 4), ('winning', 2), ('-', 2), ('kremlin', 2)]",1751,639.0,30579,0.91
Post 5,"EU to unveil landmark law curbing power of tech giants. Facebook, Amazon, Google and others could soon face massive fines in the European Union under a draft law that seeks to reign in tech giants. Firms could be fined up to 10% of their annual turnover for violating competition rules.",32,"[('law', 3), ('could', 3), ('tech', 2), ('giants.', 2), ('face', 2), ('fined', 2), ('breaching', 2), ('eu', 1), ('unveil', 1), ('landmark', 1)]",32,"[('tech', 4), ('could', 4), ('eu', 3), ('giants.', 3), ('new', 3), ('rules', 3), ('law', 2), ('fines', 2), ('digital', 2), ('sweeping', 2)]",30,"[('could', 4), ('law', 3), ('tech', 3), ('eu', 2), ('giants.', 2), ('face', 2), ('fines', 2), ('fined', 2), ('breaching', 2), ('hefty', 2)]",878,517.0,10525,0.98
Post 6,Scotiabank becomes fifth major Canadian bank to refuse to fund oil drilling in Arctic refuge,-1,"[('new', 10), ('says', 9), ('china', 6), ('iran', 6), ('russian', 5), ('covid-19', 5), ('us', 5), ('world', 4), ('u.s.', 4), ('french', 4)]",-1,"[('says', 7), ('eu', 6), ('new', 5), ('world', 4), ('the', 4), ('china', 4), ('oil', 3), ('war', 3), ('russian', 3), ('part', 3)]",-1,"[('says', 9), ('new', 9), ('china', 6), ('iran', 6), ('russian', 5), ('covid-19', 5), ('us', 5), ('world', 4), ('u.s.', 4), ('french', 4)]",127,545.0,9387,0.98
Post 7,"More people died from suicide in Japan in October than the total number of COVID-19 deaths in 2020, figures released by the Japanese National Police Agency show. Japan has the highest suicide rate in the G7 and subsequently reports its data every month compared to other countries including the US.",24,"[('deaths', 4), ('rate', 4), ('suicide', 2), ('japan', 2), ('number', 2), ('highest', 2), ('rise', 2), ('new', 2), ('record', 2), ('worst', 2)]",36,"[('japanese', 2), ('people', 2), ('suicide', 2), ('japan', 2), ('serial', 1), ('killer', 1), ('baited', 1), ('suicidal', 1), ('using', 1), ('twitter', 1)]",24,"[('deaths', 4), ('rate', 4), ('suicide', 2), ('japan', 2), ('number', 2), ('highest', 2), ('rise', 2), ('new', 2), ('record', 2), ('worst', 2)]",270,856.0,3469,0.93
Post 8,"Putin Gave 'Direct Order' to Kill Me, Says Russia's Alexei Navalny: Russian opposition leader Alexei Navalny has described how he thought he was going to die after a poisoning attack he says was ordered by President Vladimir Putin.",26,"[('navalny', 4), ('says', 3), ('russian', 3), ('putin', 2), (""russia's"", 2), ('alexei', 2), ('poisoning', 2), ('ordered', 2), ('cnn-bellingcat', 2), ('investigation', 2)]",40,"[('says', 3), ('putin', 2), (""russia's"", 2), ('alexei', 2), ('navalny', 2), ('poisoning', 2), ('ordered', 2), ('gave', 1), (""'direct"", 1), (""order'"", 1)]",26,"[('navalny', 4), ('says', 3), ('russian', 3), ('putin', 2), (""russia's"", 2), ('alexei', 2), ('poisoning', 2), ('ordered', 2), ('cnn-bellingcat', 2), ('investigation', 2)]",119,845.0,2462,0.96
Post 9,"An alligator that survived World War II bombings in Berlin and died in Moscow seven decades later has been immortalized in the Russian capital this month. Saturn, who died of old age at 84 at the Moscow Zoo in May, was rumored to have been part of Adolf Hitler’s personal collection.",-1,"[('new', 10), ('says', 9), ('china', 6), ('iran', 6), ('russian', 5), ('covid-19', 5), ('us', 5), ('world', 4), ('u.s.', 4), ('french', 4)]",-1,"[('says', 7), ('eu', 6), ('new', 5), ('world', 4), ('the', 4), ('china', 4), ('oil', 3), ('war', 3), ('russian', 3), ('part', 3)]",-1,"[('says', 9), ('new', 9), ('china', 6), ('iran', 6), ('russian', 5), ('covid-19', 5), ('us', 5), ('world', 4), ('u.s.', 4), ('french', 4)]",86,808.0,2194,0.96
Post 10,Gay 'conversion therapy': Man given electric shocks demands apology,-1,"[('new', 10), ('says', 9), ('china', 6), ('iran', 6), ('russian', 5), ('covid-19', 5), ('us', 5), ('world', 4), ('u.s.', 4), ('french', 4)]",-1,"[('says', 7), ('eu', 6), ('new', 5), ('world', 4), ('the', 4), ('china', 4), ('oil', 3), ('war', 3), ('russian', 3), ('part', 3)]",-1,"[('says', 9), ('new', 9), ('china', 6), ('iran', 6), ('russian', 5), ('covid-19', 5), ('us', 5), ('world', 4), ('u.s.', 4), ('french', 4)]",160,1019.0,2642,0.9500000000000001
