,Title,BERT label,BERT label words,TFIDF label,TFIDF label words,BERT + TFIDF label,BERT + TFIDF label words,Comment Count,Time elapsed (mins),Upvotes,Upvote Ratio
Post 1,"[SSD] Crucial P5 1TB 3D NAND NVMe Internal SSD, up to 3400MB/s - $109.99",-1,"[('-', 23), ('[ssd]', 4), ('1tb', 4), ('ssd', 4), ('[cpu]', 3), ('amazon', 3), ('[case]', 3), ('atx', 3), ('pro', 3), ('+', 3)]",6,"[('[ssd]', 3), ('crucial', 3), ('1tb', 3), ('3d', 3), ('nand', 3), ('nvme', 3), ('-', 3), ('p5', 2), ('$109.99', 2), ('ssd', 2)]",7,"[('1tb', 5), ('[ssd]', 4), ('nvme', 4), ('-', 4), ('pcie', 4), ('m.2', 3), ('ssd', 3), ('crucial', 2), ('3d', 2), ('nand', 2)]",134,201.0,1013,0.98
Post 2,[CPU] The Amazon 5800x STILL WORKS - $449 (Explanation in comments),-1,"[('-', 23), ('[ssd]', 4), ('1tb', 4), ('ssd', 4), ('[cpu]', 3), ('amazon', 3), ('[case]', 3), ('atx', 3), ('pro', 3), ('+', 3)]",-1,"[('-', 10), ('[cpu]', 4), ('amd', 3), ('ryzen', 3), ('ghz', 3), ('pro', 3), ('amazon', 2), ('9', 2), ('the', 1), ('5800x', 1)]",-1,"[('-', 22), ('ssd', 4), ('[cpu]', 3), ('amazon', 3), ('[ssd]', 3), ('1tb', 3), ('[case]', 3), ('atx', 3), ('pro', 3), ('+', 3)]",312,865.0,642,0.93
Post 3,[CPU] (Restock) (Walmart) Ryzen 5 3600 - $199,3,"[('ryzen', 9), ('[cpu]', 8), ('-', 7), ('amd', 5), ('5', 4), ('restock', 4), ('5800x', 4), ('$449', 4), ('3600', 3), ('7', 3)]",11,"[('[cpu]', 3), ('ryzen', 3), ('5', 3), ('3600', 3), ('$229.99', 2), ('(restock)', 1), ('(walmart)', 1), ('-', 1), ('$199', 1), ('restock', 1)]",3,"[('ryzen', 9), ('[cpu]', 8), ('-', 7), ('amd', 5), ('5', 4), ('restock', 4), ('5800x', 4), ('$449', 4), ('3600', 3), ('7', 3)]",130,708.0,483,0.93
Post 4,[CPU] AMD Ryzen 9 5950X 16-core $799 - Restock,3,"[('ryzen', 9), ('[cpu]', 8), ('-', 7), ('amd', 5), ('5', 4), ('restock', 4), ('5800x', 4), ('$449', 4), ('3600', 3), ('7', 3)]",-1,"[('-', 10), ('[cpu]', 4), ('amd', 3), ('ryzen', 3), ('ghz', 3), ('pro', 3), ('amazon', 2), ('9', 2), ('the', 1), ('5800x', 1)]",3,"[('ryzen', 9), ('[cpu]', 8), ('-', 7), ('amd', 5), ('5', 4), ('restock', 4), ('5800x', 4), ('$449', 4), ('3600', 3), ('7', 3)]",124,92.0,139,0.89
Post 5,[SSD] Crucial P5 1TB 3D NAND NVMe SSD - $109.99 (Same price as Best Buy),-1,"[('-', 23), ('[ssd]', 4), ('1tb', 4), ('ssd', 4), ('[cpu]', 3), ('amazon', 3), ('[case]', 3), ('atx', 3), ('pro', 3), ('+', 3)]",6,"[('[ssd]', 3), ('crucial', 3), ('1tb', 3), ('3d', 3), ('nand', 3), ('nvme', 3), ('-', 3), ('p5', 2), ('$109.99', 2), ('ssd', 2)]",-1,"[('-', 22), ('ssd', 4), ('[cpu]', 3), ('amazon', 3), ('[ssd]', 3), ('1tb', 3), ('[case]', 3), ('atx', 3), ('pro', 3), ('+', 3)]",25,751.0,116,0.9400000000000001
Post 6,[MB] MSI X570 Tomahawk Wi-Fi (B&H restock) - $220,-1,"[('-', 23), ('[ssd]', 4), ('1tb', 4), ('ssd', 4), ('[cpu]', 3), ('amazon', 3), ('[case]', 3), ('atx', 3), ('pro', 3), ('+', 3)]",-1,"[('-', 10), ('[cpu]', 4), ('amd', 3), ('ryzen', 3), ('ghz', 3), ('pro', 3), ('amazon', 2), ('9', 2), ('the', 1), ('5800x', 1)]",-1,"[('-', 22), ('ssd', 4), ('[cpu]', 3), ('amazon', 3), ('[ssd]', 3), ('1tb', 3), ('[case]', 3), ('atx', 3), ('pro', 3), ('+', 3)]",113,860.0,119,0.9
Post 7,[CPU] AMD Ryzen 7 5800X Restock - $449,3,"[('ryzen', 9), ('[cpu]', 8), ('-', 7), ('amd', 5), ('5', 4), ('restock', 4), ('5800x', 4), ('$449', 4), ('3600', 3), ('7', 3)]",13,"[('[cpu]', 2), ('amd', 2), ('ryzen', 2), ('7', 2), ('5800x', 2), ('restock', 2), ('-', 2), ('$449', 2), ('8-core', 1)]",3,"[('ryzen', 9), ('[cpu]', 8), ('-', 7), ('amd', 5), ('5', 4), ('restock', 4), ('5800x', 4), ('$449', 4), ('3600', 3), ('7', 3)]",97,277.0,84,0.84
Post 8,[SSD] Samsung SSD 860 EVO 1TB 2.5 Inch SATA III Internal SSD (MZ-76E1T0B/AM) $99.99 (199.99 - 100 = 99.99),-1,"[('-', 23), ('[ssd]', 4), ('1tb', 4), ('ssd', 4), ('[cpu]', 3), ('amazon', 3), ('[case]', 3), ('atx', 3), ('pro', 3), ('+', 3)]",4,"[('ssd', 3), ('[ssd]', 2), ('1tb', 2), ('sata', 2), ('iii', 2), ('-', 2), ('samsung', 1), ('860', 1), ('evo', 1), ('2.5', 1)]",-1,"[('-', 22), ('ssd', 4), ('[cpu]', 3), ('amazon', 3), ('[ssd]', 3), ('1tb', 3), ('[case]', 3), ('atx', 3), ('pro', 3), ('+', 3)]",38,9.0,86,0.8300000000000001
Post 9,[SSD] Sabrent 1TB Rocket NVMe 4.0 Gen4 PCIe M.2 Internal SSD Extreme Performance Solid State Drive (SB-ROCKET-NVMe4-1TB) - $169.99 ($150 off),7,"[('1tb', 4), ('pcie', 4), ('[ssd]', 3), ('nvme', 3), ('m.2', 3), ('ssd', 3), ('-', 3), ('4.0', 2), ('gen4', 2), ('sabrent', 1)]",7,"[('[ssd]', 2), ('1tb', 2), ('nvme', 2), ('4.0', 2), ('gen4', 2), ('pcie', 2), ('m.2', 2), ('ssd', 2), ('-', 2), ('sabrent', 1)]",7,"[('1tb', 5), ('[ssd]', 4), ('nvme', 4), ('-', 4), ('pcie', 4), ('m.2', 3), ('ssd', 3), ('crucial', 2), ('3d', 2), ('nand', 2)]",39,675.0,76,0.84
Post 10,[Case] Phanteks Eclipse P500A DRGB White and Black - $140 (Back order),-1,"[('-', 23), ('[ssd]', 4), ('1tb', 4), ('ssd', 4), ('[cpu]', 3), ('amazon', 3), ('[case]', 3), ('atx', 3), ('pro', 3), ('+', 3)]",5,"[('-', 10), ('[case]', 3), ('[cooler]', 3), ('aio', 3), ('$20', 3), ('lian', 2), ('li', 2), ('stock', 2), ('in', 2), ('cooler', 2)]",-1,"[('-', 22), ('ssd', 4), ('[cpu]', 3), ('amazon', 3), ('[ssd]', 3), ('1tb', 3), ('[case]', 3), ('atx', 3), ('pro', 3), ('+', 3)]",41,986.0,84,0.89
